MATERIAL,Unidad de medida,17,18,19,20,porcentaje,tipo
"Acuario equipado (de 20 L. mínimo, se deberá contar con los accesorios  de acuerdo al tipo de ecosistema que se quiera representar)",piezas,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,material
Agujas de disección con punta recta,piezas,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,15,material
Agujas de disección de punta curva,piezas,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,2 x equipo de trabajo,15,material
Algodón (paquete de 500 g.),paquetes,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,material
Anillos de fierro para soporte universal,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,material
Asa para siembra bacteriológica,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,material
Cajas de Petri de plástico desechables de 10 cm. de díametro,piezas,5 x equipo de trabajo,5 x equipo de trabajo,5 x equipo de trabajo,5 x equipo de trabajo,15,material
Charolas de disección de acero inoxidable,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,material
Espátulas de acero inoxidable,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,material
Gradillas para tubo de ensayo,piezas,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,1 x equipo de trabajo,15,material
Glucocinta y/o Glucómetro con 50 tiras reactivas,paquetes o aparatos con tiras reactivas,2 x grupo,2 x grupo,2 x grupo,2 x grupo,15,material
Lancetas estériles,piezas,100 x grupo,100 x grupo,100 x grupo,100 x grupo,15,material
Mangueras de hule de latex (de 5 mm. de diámetro),metros,10 x grupo,10 x grupo,10 x grupo,10 x grupo,15,material
Papel absorbente (servitoallas),rollos,4 x grupo,4 x grupo,4 x grupo,4 x grupo,15,material
