"material","Unidad de medida",7,8,9,10,"porcentaje","tipo"
"Balanzas granatarias (medida mínima 1g.)","pzas.","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"equipo"
"Calibrador Vernier (metálico, NO digital)","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Cronómetro","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Dinamómetros encapsulados (0 a 50 Newtons)","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Flexómetro","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Juego de geometría para pizarrón","pzas.","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"equipo"
"Multímetro analógico","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Multímetro digital","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Regla graduada (60 cm.)","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Termómetro (– 5 °C a 100°C)","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Tornillo Micrométrico (metálico, NO digital)","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Transportador","pzas.","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Abanico de fuerzas","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Alambre de Magneto de cobre del Núm. 16","carrete","1 x grupo","1 x grupo","1 x grupo","1 x grupo",80,"material"
"Alambre de Magneto de cobre del Núm. 20","carrete","1 x grupo","1 x grupo","1 x grupo","1 x grupo",80,"material"
"Alambre de nicromel","metro","2 x grupo","2 x grupo","2 x grupo","2 x grupo",80,"material"
"Alambre de Níquel","metro","2 x grupo","2 x grupo","2 x grupo","2 x grupo",80,"material"
"Apuntador láser","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Balines de acero de diferentes tamaños","piezas","50 x grupo","50 x grupo","50 x grupo","50 x grupo",80,"material"
"Barras de hule duro","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Barras de plástico","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Barras de vidrio","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Bobinas de 100 espiras","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Brújulas","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Cables diversos con caimanes para conexiones","piezas","35 x grupo","35 x grupo","35 x grupo","35 x grupo",80,"material"
"Caja de herramientas con pinzas, desarmadores, llaves de tuercas","caja","1 x grupo","1 x grupo","1 x grupo","1 x grupo",80,"material"
"Capacitores de diferentes valores","piezas",,,30,30,80,"material"
"Calorímetro de aluminio","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Cautín","piezas","2 x grupo","2 x grupo","2 x grupo","2 x grupo",80,"material"
"Cinta aislante","rollo","1 x grupo","1 x grupo","1 x grupo","1 x grupo",80,"material"
"Circuitos integrados","piezas",,,"10 x grupo","10 x grupo",80,"material"
"Dados","piezas","100 x equipo de trabajo","100 x equipo de trabajo",,,80,"material"
"Diapasón","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Diodos","piezas",,,"20 x grupo","20 x grupo",80,"material"
"Electroscopios","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Estroboscopio","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Esferas de tres diferentes materiales y tamaños (material 1)","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Esferas de tres diferentes materiales y tamaños (material 2)","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Esferas de tres diferentes materiales y tamaños (material 3)","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Espejos curvos cóncavos","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Espejos curvos convexos","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Espejos planos","piezas",,,"2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Focos de 25 W","piezas","8 x grupo","8 x grupo","8 x grupo","8 x grupo",80,"material"
"Focos de 60 W","piezas","8 x grupo","8 x grupo","8 x grupo","8 x grupo",80,"material"
"Fuente de poder AC/DC","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Generador Van de Graff","piezas","3 x grupo","3 x grupo","3 x grupo","3 x grupo",80,"material"
"Giroscopios","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Goteros","piezas",,,"10 x grupo","10 x grupo",80,"material"
"Hilo de cáñamo","carrete","1 x grupo","1 x grupo","1 x grupo","1 x grupo",80,"material"
"Imanes permanentes en barra","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Imanes permanentes en herradura","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Interruptor de circuito eléctrico","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Jeringas desechables de tres capacidades diferentes con aguja atornillable (capacidad 1)","piezas",,,"8 x grupo","8 x grupo",80,"material"
"Jeringas desechables de tres capacidades diferentes con aguja atornillable (capacidad 2)","piezas",,,"8 x grupo","8 x grupo",80,"material"
"Jeringas desechables de tres capacidades diferentes con aguja atornillable (capacidad 3)","piezas",,,"8 x grupo","8 x grupo",80,"material"
"Lámpara de luz UV","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Láminas de tres diferentes metales y espesor (metal 1)","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Láminas de tres diferentes metales y espesor (metal 2)","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Láminas de tres diferentes metales y espesor (metal 3)","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Lámparas de emisión de tres diferentes gases (gas 1)","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Lámparas de emisión de tres diferentes gases (gas 2)","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Lámparas de emisión de tres diferentes gases (gas 3)","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Leds de diferentes colores","piezas","50 x grupo","50 x grupo",,,80,"material"
"Lentes convergentes","piezas",,,"2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Lentes divergentes","piezas",,,"2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Ligas","bolsa","1 x grupo","1 x grupo","1 x grupo","1 x grupo",80,"material"
"Líquidos de tres diferentes densidades (líquido 1)","mililitros",,,"500 x grupo","500 x grupo",80,"material"
"Líquidos de tres diferentes densidades (líquido 2)","mililitros",,,"500 x grupo","500 x grupo",80,"material"
"Líquidos de tres diferentes densidades (líquido 3)","mililitros",,,"500 x grupo","500 x grupo",80,"material"
"Lupa","piezas",,,"2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Limadura de hierro","gramos","500 X grupo","500 X grupo",,,80,"material"
"Mangueras transparentes de tres diferentes diámetros menor a 2.5 cm (diámetro 1)","metro",,,"12 x grupo","12 x grupo",80,"material"
"Mangueras transparentes de tres diferentes diámetros menor a 2.5 cm (diámetro 2)","metro",,,"12 x grupo","12 x grupo",80,"material"
"Mangueras transparentes de tres diferentes diámetros menor a 2.5 cm (diámetro 3)","metro",,,"12 x grupo","12 x grupo",80,"material"
"Marco de pesas (5 g. a 500 g.)","juego","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Matraz Erlenmeyer de 100 ml.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Perinolas","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Paños de lana","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Paños de piel de gato","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Paños de seda","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Pesas de 1 kg.","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Pilas alcalinas de 1.5 V","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Placa de calentamiento eléctrica (hornilla)","piezas","1 x equipo de trabajo","1 x equipo de trabajo",,,80,"material"
"Plano inclinado","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Plastilina","barra",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Polarizadores","piezas",,,"2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Poleas ","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
"Portapilas para dos pilas cada uno","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Prismas de tres diferentes materiales (material 1)","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Prismas de tres diferentes materiales (material 2)","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Prismas de tres diferentes materiales (material 3)","piezas",,,"1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Recipientes plásticos de 30 x 30 cm y poca profundidad","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Rejillas de difracción","piezas","2 x equipo de trabajo","2 x equipo de trabajo",,,80,"material"
"Resistores de carbón 8 (comerciales), diferentes valores","piezas","100 x grupo","100 x grupo","100 x grupo","100 x grupo",80,"material"
"Resortes tubulares de diferente número de espiras","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",80,"material"
