"material","Unidad de medida",23,24,25,"porcentaje","tipo"
"Balanzas granatarias (medida mínima 1g.)","piezas","3 x grupo","3 x grupo","3 x grupo",20,"equipo"
"Calibrador Vernier (metálico, NO digital)","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Cronómetro","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Dinamómetros encapsulados (0 a 50 Newtons)","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Flexómetro","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Juego de geometría para pizarrón","juego","1 x grupo","1 x grupo","1 x grupo",20,"equipo"
"Multímetro analógico","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Multímetro digital","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Regla graduada (60 cm.)","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Termómetro (– 5 °C a 100°C)","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Tornillo Micrométrico (metálico, NO digital)","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Transportador","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"equipo"
"Abanico de fuerzas","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Alambre de Magneto de cobre del  Núm. 16","carrete","1 x grupo","1 x grupo","1 x grupo",80,"material"
"Alambre de Magneto de cobre del Núm. 20 ","carrete","1 x grupo","1 x grupo","1 x grupo",80,"material"
"Alambre de nicromel","metro","2 x grupo","2 x grupo","2 x grupo",80,"material"
"Alambre de Níquel","metro","2 x grupo","2 x grupo","2 x grupo",80,"material"
"Apuntador láser","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Balines de acero de diferentes tamaños","piezas","50 x grupo","50 x grupo","50 x grupo",80,"material"
"Barras de  hule duro ","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Barras de plástico","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Barras de vidrio","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Bobinas de 100 espiras","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Brújulas","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",80,"material"
"Cables diversos con caimanes para conexiones","piezas","35 x grupo","35 x grupo","35 x grupo",80,"material"
"Caja de herramientas con pinzas, desarmadores, llaves de tuercas ",,"1 x grupo","1 x grupo","1 x grupo",80,"material"
