"MATERIAL","Unidad de medida",27,28,29,30,"porcentaje","tipo"
"Algodón","gramos","500 x grupo","500 x grupo","500 x grupo","500 x grupo",20,"material"
"Anillo de fierro para soporte","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Barra magnética de agitación de 1.2 x 5cm  y de 0.6 x 1.5 cm aprox.","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",,20,"material"
"Cables delgados (con caimanes)","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",20,"material"
"Cartel de la tabla periódica tamaño 140 x 90 cm.","piezas","1 x grupo","1 x grupo","1 x grupo","1 x grupo",20,"material"
"Cuba hidroneumática","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Cucharilla de combustión","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Encendedor o cerillos","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Escobillones para pipeta","piezas","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Escobillones para vaso de precipitado","piezas","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Escobillones para matraz","piezas","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Escobillones para tubo de ensayo","piezas","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Espátula de acero inoxidable","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Foquitos de 6V","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Franela","metros","3 x grupo","3 x grupo","3 x grupo","3 x grupo",20,"material"
"Gradilla para tubos de ensayo","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Imanes de herradura","piezas","2 x equipo de trabajo","2 x equipo de trabajo","2 x equipo de trabajo",,20,"material"
"Juego de Horadadores","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Manguera de hule de 5 mm. de diámetro","metros","10 x grupo","10 x grupo","10 x grupo","10 x grupo",20,"material"
"Mechero de Bunsen con manguera","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Mechero de Fisher","piezas","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"material"
"Papel filtro","pliegos","4 x grupo","4 x grupo","4 x grupo","4 x grupo",20,"material"
"Papel Parafilm","rollos","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"material"
"Papel pH o indicador Universal","cajas","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"material"
"Papel tornasol","cajas","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"material"
"Pila de 6 voltios","piezas","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo","1 x equipo de trabajo",20,"material"
"Pinzas de doble  nuez","piezas","2 x grupo","2 x grupo","2 x grupo","2 x grupo",20,"material"
"Pinzas para  refrigerante ( tres dedos)","piezas",,"2 x grupo","2 x grupo","2 x grupo",20,"material"
